Table,Type,Engine,Report,#rows Approx,Dimension (bytes),Comments
wp_2_actionscheduler_actions,BASE TABLE,InnoDB,TABLE,2,131072,""
wp_2_actionscheduler_claims,BASE TABLE,InnoDB,TABLE,"0",32768,""
wp_2_actionscheduler_groups,BASE TABLE,InnoDB,TABLE,2,32768,""
wp_2_actionscheduler_logs,BASE TABLE,InnoDB,TABLE,6,49152,""
wp_2_aryo_activity_log,BASE TABLE,InnoDB,TABLE,27,147456,""
wp_2_duplicator_packages,BASE TABLE,InnoDB,TABLE,"0",32768,""
wp_2_e_events,BASE TABLE,InnoDB,TABLE,"0",32768,""
wp_2_icl_background_task,BASE TABLE,InnoDB,TABLE,"0",16384,""
wp_2_icl_cms_nav_cache,BASE TABLE,InnoDB,TABLE,"0",16384,""
wp_2_icl_content_status,BASE TABLE,InnoDB,TABLE,"0",32768,""
wp_2_icl_core_status,BASE TABLE,InnoDB,TABLE,"0",32768,""
wp_2_icl_flags,BASE TABLE,InnoDB,TABLE,65,32768,""
wp_2_icl_links_post_to_post,BASE TABLE,InnoDB,TABLE,"0",32768,""
wp_2_icl_links_post_to_term,BASE TABLE,InnoDB,TABLE,"0",32768,""
wp_2_icl_locale_map,BASE TABLE,InnoDB,TABLE,3,16384,""
wp_2_icl_message_status,BASE TABLE,InnoDB,TABLE,"0",49152,""
wp_2_icl_mo_files_domains,BASE TABLE,InnoDB,TABLE,39,32768,""
wp_2_icl_node,BASE TABLE,InnoDB,TABLE,"0",16384,""
wp_2_icl_reminders,BASE TABLE,InnoDB,TABLE,"0",16384,""
wp_2_icl_string_batches,BASE TABLE,InnoDB,TABLE,"0",16384,""
wp_2_icl_string_packages,BASE TABLE,InnoDB,TABLE,40,16384,""
wp_2_icl_string_positions,BASE TABLE,InnoDB,TABLE,"0",32768,""
wp_2_links,BASE TABLE,InnoDB,TABLE,"0",32768,""
wp_2_options,BASE TABLE,InnoDB,TABLE,439,5832704,""
wp_2_pmxe_exports,BASE TABLE,InnoDB,TABLE,"0",16384,""
wp_2_pmxe_google_cats,BASE TABLE,InnoDB,TABLE,5480,409600,""
wp_2_pmxe_posts,BASE TABLE,InnoDB,TABLE,"0",16384,""
wp_2_pmxe_templates,BASE TABLE,InnoDB,TABLE,"0",16384,""
wp_2_pmxi_files,BASE TABLE,InnoDB,TABLE,5,16384,""
